Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"5,168.00","5,183.99",638.12,"1,253.49"
"5,184.00","5,207.99",637.12,"1,252.49"
"5,208.00","5,215.99",636.12,"1,251.49"
"5,216.00","5,231.99",635.12,"1,250.49"
"5,232.00","5,255.99",634.12,"1,249.49"
"5,256.00","5,263.99",633.12,"1,248.49"
"5,264.00","5,279.99",632.12,"1,247.49"
"5,280.00","5,303.99",631.12,"1,246.49"
"5,304.00","5,311.99",630.12,"1,245.49"
"5,312.00","5,327.99",629.12,"1,244.49"
"5,328.00","5,351.99",628.12,"1,243.49"
"5,352.00","5,359.99",627.12,"1,242.49"
"5,360.00","5,375.99",626.12,"1,241.49"
"5,376.00","5,399.99",625.12,"1,240.49"
"5,400.00","5,407.99",624.12,"1,239.49"
"5,408.00","5,423.99",623.12,"1,238.49"
"5,424.00","5,447.99",622.12,"1,237.49"
"5,448.00","5,455.99",621.12,"1,236.49"
"5,456.00","5,471.99",620.12,"1,235.49"
"5,472.00","5,495.99",619.12,"1,234.49"
"5,496.00","5,503.99",618.12,"1,233.49"
"5,504.00","5,519.99",617.12,"1,232.49"
"5,520.00","5,543.99",616.12,"1,231.49"
"5,544.00","5,551.99",615.12,"1,230.49"
"5,552.00","5,567.99",614.12,"1,229.49"
"5,568.00","5,591.99",613.12,"1,228.49"
"5,592.00","5,599.99",612.12,"1,227.49"
"5,600.00","5,615.99",611.12,"1,226.49"
"5,616.00","5,639.99",610.12,"1,225.49"
"5,640.00","5,647.99",609.12,"1,224.49"
"5,648.00","5,663.99",608.12,"1,223.49"
"5,664.00","5,687.99",607.12,"1,222.49"
"5,688.00","5,695.99",606.12,"1,221.49"
"5,696.00","5,711.99",605.12,"1,220.49"
"5,712.00","5,735.99",604.12,"1,219.49"
"5,736.00","5,743.99",603.12,"1,218.49"
"5,744.00","5,759.99",602.12,"1,217.49"
"5,760.00","5,783.99",601.12,"1,216.49"
"5,784.00","5,791.99",600.12,"1,215.49"
"5,792.00","5,807.99",599.12,"1,214.49"
"5,808.00","5,831.99",598.12,"1,213.49"
"5,832.00","5,839.99",597.12,"1,212.49"
"5,840.00","5,855.99",596.12,"1,211.49"
"5,856.00","5,879.99",595.12,"1,210.49"
"5,880.00","5,887.99",594.12,"1,209.49"
"5,888.00","5,903.99",593.12,"1,208.49"
"5,904.00","5,927.99",592.12,"1,207.49"
"5,928.00","5,935.99",591.12,"1,206.49"
"5,936.00","5,951.99",590.12,"1,205.49"
