from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b�n�ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"16,176.00","16,223.99",175.94,791.31
"16,224.00","16,271.99",174.94,790.31
"16,272.00","16,319.99",173.94,789.31
"16,320.00","16,367.99",172.94,788.31
"16,368.00","16,415.99",171.94,787.31
"16,416.00","16,463.99",170.94,786.31
"16,464.00","16,511.99",169.94,785.31
"16,512.00","16,559.99",168.94,784.31
"16,560.00","16,607.99",167.94,783.31
"16,608.00","16,655.99",166.94,782.31
"16,656.00","16,703.99",165.94,781.31
"16,704.00","16,751.99",164.94,780.31
"16,752.00","16,799.99",163.94,779.31
"16,800.00","16,847.99",162.94,778.31
"16,848.00","16,895.99",161.94,777.31
"16,896.00","16,943.99",160.94,776.31
"16,944.00","16,991.99",159.94,775.31
"16,992.00","17,039.99",158.94,774.31
"17,040.00","17,087.99",157.94,773.31
"17,088.00","17,135.99",156.94,772.31
"17,136.00","17,183.99",155.94,771.31
"17,184.00","17,231.99",154.94,770.31
"17,232.00","17,279.99",153.94,769.31
"17,280.00","17,327.99",152.94,768.31
"17,328.00","17,375.99",151.94,767.31
"17,376.00","17,423.99",150.94,766.31
"17,424.00","17,471.99",149.94,765.31
"17,472.00","17,519.99",148.94,764.31
"17,520.00","17,567.99",147.94,763.31
"17,568.00","17,615.99",146.94,762.31
"17,616.00","17,663.99",145.94,761.31
"17,664.00","17,711.99",144.94,760.31
"17,712.00","17,759.99",143.94,759.31
"17,760.00","17,807.99",142.94,758.31
"17,808.00","17,855.99",141.94,757.31
"17,856.00","17,903.99",140.94,756.31
"17,904.00","17,951.99",139.94,755.31
"17,952.00","17,999.99",138.94,754.31
"18,000.00","18,047.99",137.94,753.31
"18,048.00","18,095.99",136.94,752.31
"18,096.00","18,143.99",135.94,751.31
"18,144.00","18,191.99",134.94,750.31
"18,192.00","18,239.99",133.94,749.31
"18,240.00","18,287.99",132.94,748.31
"18,288.00","18,335.99",131.94,747.31
"18,336.00","18,383.99",130.94,746.31
"18,384.00","18,431.99",129.94,745.31
"18,432.00","18,479.99",128.94,744.31
"18,480.00","18,527.99",127.94,743.31
"18,528.00","18,575.99",126.94,742.31
"18,576.00","18,623.99",125.94,741.31
"18,624.00","18,671.99",124.94,740.31
"18,672.00","18,719.99",123.94,739.31
"18,720.00","18,767.99",122.94,738.31
"18,768.00","18,815.99",121.94,737.31
"18,816.00","18,863.99",120.94,736.31
"18,864.00","18,911.99",119.94,735.31
"18,912.00","18,959.99",118.94,734.31
"18,960.00","19,007.99",117.94,733.31
"19,008.00","19,055.99",116.94,732.31
"19,056.00","19,103.99",115.94,731.31
"19,104.00","19,151.99",114.94,730.31
"19,152.00","19,199.99",113.94,729.31
"19,200.00","19,247.99",112.94,728.31
"19,248.00","19,295.99",111.94,727.31
"19,296.00","19,343.99",110.94,726.31
"19,344.00","19,391.99",109.94,725.31
"19,392.00","19,439.99",108.94,724.31
"19,440.00","19,487.99",107.94,723.31
"19,488.00","19,535.99",106.94,722.31
"19,536.00","19,583.99",105.94,721.31
"19,584.00","19,631.99",104.94,720.31
"19,632.00","19,679.99",103.94,719.31
"19,680.00","19,727.99",102.94,718.31
"19,728.00","19,775.99",101.94,717.31
"19,776.00","19,823.99",100.94,716.31
"19,824.00","19,871.99",99.94,715.31
"19,872.00","19,919.99",98.94,714.31
"19,920.00","19,967.99",97.94,713.31
"19,968.00","20,015.99",96.94,712.31
"20,016.00","20,063.99",95.94,711.31
"20,064.00","20,111.99",94.94,710.31
"20,112.00","20,159.99",93.94,709.31
"20,160.00","20,207.99",92.94,708.31
"20,208.00","20,255.99",91.94,707.31
"20,256.00","20,303.99",90.94,706.31
"20,304.00","20,351.99",89.94,705.31
"20,352.00","20,399.99",88.94,704.31
"20,400.00","20,447.99",87.94,703.31
"20,448.00","20,495.99",86.94,702.31
"20,496.00","20,543.99",85.94,701.31
"20,544.00","20,591.99",84.94,700.31
"20,592.00","20,639.99",83.94,699.31
"20,640.00","20,687.99",82.94,698.31
"20,688.00","20,735.99",81.94,697.31
"20,736.00","20,783.99",80.94,696.31
"20,784.00","20,831.99",79.94,695.31
"20,832.00","20,879.99",78.94,694.31
"20,880.00","20,927.99",77.94,693.31
"20,928.00","20,975.99",76.94,692.31
"20,976.00","21,023.99",75.94,691.31
"21,024.00","21,071.99",74.94,690.31
"21,072.00","21,119.99",73.94,689.31
"21,120.00","21,167.99",72.94,688.31
"21,168.00","21,215.99",71.94,687.31
"21,216.00","21,263.99",70.94,686.31
"21,264.00","21,311.99",69.94,685.31
"21,312.00","21,359.99",68.94,684.31
"21,360.00","21,407.99",67.94,683.31
"21,408.00","21,455.99",66.94,682.31
"21,456.00","21,503.99",65.94,681.31
"21,504.00","21,551.99",64.94,680.31
