Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,
Yearly Income (excluding Allowance for the Survivor) From ($),Yearly Income (excluding Allowance for the Survivor) To ($),Monthly Allowance for the Survivor ($)
Revenu annuel (excluant l'Allocation au survivant) De ($),Revenu annuel (excluant l'Allocation au survivant) À ($),Allocation mensuelle au survivant ($)
"15,168.00","15,191.99",415.35
"15,192.00","15,215.99",414.35
"15,216.00","15,239.99",413.35
"15,240.00","15,263.99",412.35
"15,264.00","15,287.99",411.35
"15,288.00","15,311.99",410.35
"15,312.00","15,335.99",409.35
"15,336.00","15,359.99",408.35
"15,360.00","15,383.99",407.35
"15,384.00","15,407.99",406.35
"15,408.00","15,431.99",405.35
"15,432.00","15,455.99",404.35
"15,456.00","15,479.99",403.35
"15,480.00","15,503.99",402.35
"15,504.00","15,527.99",401.35
"15,528.00","15,551.99",400.35
"15,552.00","15,575.99",399.35
"15,576.00","15,599.99",398.35
"15,600.00","15,623.99",397.35
"15,624.00","15,647.99",396.35
"15,648.00","15,671.99",395.35
"15,672.00","15,695.99",394.35
"15,696.00","15,719.99",393.35
"15,720.00","15,743.99",392.35
"15,744.00","15,767.99",391.35
"15,768.00","15,791.99",390.35
"15,792.00","15,815.99",389.35
"15,816.00","15,839.99",388.35
"15,840.00","15,863.99",387.35
"15,864.00","15,887.99",386.35
"15,888.00","15,911.99",385.35
"15,912.00","15,935.99",384.35
"15,936.00","15,959.99",383.35
"15,960.00","15,983.99",382.35
"15,984.00","16,007.99",381.35
"16,008.00","16,031.99",380.35
"16,032.00","16,055.99",379.35
"16,056.00","16,079.99",378.35
"16,080.00","16,103.99",377.35
"16,104.00","16,127.99",376.35
"16,128.00","16,151.99",375.35
"16,152.00","16,175.99",374.35
"16,176.00","16,199.99",373.35
"16,200.00","16,223.99",372.35
"16,224.00","16,247.99",371.35
"16,248.00","16,271.99",370.35
"16,272.00","16,295.99",369.35
"16,296.00","16,319.99",368.35
"16,320.00","16,343.99",367.35
"16,344.00","16,367.99",366.35
"16,368.00","16,391.99",365.35
"16,392.00","16,415.99",364.35
"16,416.00","16,439.99",363.35
"16,440.00","16,463.99",362.35
"16,464.00","16,487.99",361.35
"16,488.00","16,511.99",360.35
"16,512.00","16,535.99",359.35
"16,536.00","16,559.99",358.35
"16,560.00","16,583.99",357.35
"16,584.00","16,607.99",356.35
"16,608.00","16,631.99",355.35
"16,632.00","16,655.99",354.35
"16,656.00","16,679.99",353.35
"16,680.00","16,703.99",352.35
"16,704.00","16,727.99",351.35
"16,728.00","16,751.99",350.35
"16,752.00","16,775.99",349.35
"16,776.00","16,799.99",348.35
"16,800.00","16,823.99",347.35
"16,824.00","16,847.99",346.35
"16,848.00","16,871.99",345.35
"16,872.00","16,895.99",344.35
"16,896.00","16,919.99",343.35
"16,920.00","16,943.99",342.35
"16,944.00","16,967.99",341.35
"16,968.00","16,991.99",340.35
"16,992.00","17,015.99",339.35
"17,016.00","17,039.99",338.35
"17,040.00","17,063.99",337.35
"17,064.00","17,087.99",336.35
"17,088.00","17,111.99",335.35
"17,112.00","17,135.99",334.35
"17,136.00","17,159.99",333.35
"17,160.00","17,183.99",332.35
"17,184.00","17,207.99",331.35
"17,208.00","17,231.99",330.35
"17,232.00","17,255.99",329.35
"17,256.00","17,279.99",328.35
"17,280.00","17,303.99",327.35
"17,304.00","17,327.99",326.35
"17,328.00","17,351.99",325.35
"17,352.00","17,375.99",324.35
"17,376.00","17,399.99",323.35
"17,400.00","17,423.99",322.35
"17,424.00","17,447.99",321.35
"17,448.00","17,471.99",320.35
"17,472.00","17,495.99",319.35
"17,496.00","17,519.99",318.35
"17,520.00","17,543.99",317.35
"17,544.00","17,567.99",316.35
"17,568.00","17,591.99",315.35
"17,592.00","17,615.99",314.35
"17,616.00","17,639.99",313.35
"17,640.00","17,663.99",312.35
"17,664.00","17,687.99",311.35
"17,688.00","17,711.99",310.35
"17,712.00","17,735.99",309.35
"17,736.00","17,759.99",308.35
"17,760.00","17,783.99",307.35
"17,784.00","17,807.99",306.35
"17,808.00","17,831.99",305.35
"17,832.00","17,855.99",304.35
"17,856.00","17,879.99",303.35
"17,880.00","17,903.99",302.35
"17,904.00","17,927.99",301.35
"17,928.00","17,951.99",300.35
"17,952.00","17,975.99",299.35
"17,976.00","17,999.99",298.35
"18,000.00","18,023.99",297.35
"18,024.00","18,047.99",296.35
"18,048.00","18,071.99",295.35
"18,072.00","18,095.99",294.35
"18,096.00","18,119.99",293.35
"18,120.00","18,143.99",292.35
"18,144.00","18,167.99",291.35
"18,168.00","18,191.99",290.35
"18,192.00","18,215.99",289.35
